Material,Material_Type,Su,Sy,E,G,mu,Ro,Material_Type_Encoded
ANSI Aluminum Alloy Alclad 3004-H32 Wrought,Aluminium,214.0,172.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 3004-H34 Wrought,Aluminium,241.0,200.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 3004-H36 Wrought,Aluminium,262.0,228.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 3004-H38 Wrought,Aluminium,283.0,248.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 3105-O Wrought,Aluminium,117.0,55.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 3105-H12 Wrought,Aluminium,152.0,131.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 3105-H14 Wrought,Aluminium,172.0,152.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 3105-H16 Wrought,Aluminium,193.0,172.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 3105-H18 Wrought,Aluminium,214.0,193.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 3105-H25 Wrought,Aluminium,179.0,159.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 4032-T6 Wrought,Aluminium,379.0,317.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5005-O Wrought,Aluminium,124.0,41.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5005-H12 Wrought,Aluminium,138.0,131.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5005-H14 Wrought,Aluminium,159.0,152.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5005-H16 Wrought,Aluminium,179.0,172.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5005-H18 Wrought,Aluminium,200.0,193.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5005-H32 Wrought,Aluminium,138.0,117.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5005-H34 Wrought,Aluminium,159.0,138.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5005-H36 Wrought,Aluminium,179.0,165.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5005-H38 Wrought,Aluminium,200.0,186.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5050-O Wrought,Aluminium,145.0,55.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5050-H32 Wrought,Aluminium,172.0,145.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5050-H34 Wrought,Aluminium,193.0,165.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5050-H36 Wrought,Aluminium,207.0,179.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5050-H38 Wrought,Aluminium,221.0,200.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5052-O Wrought,Aluminium,193.0,90.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5052-H32 Wrought,Aluminium,228.0,193.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5052-H34 Wrought,Aluminium,262.0,214.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5052-H36 Wrought,Aluminium,276.0,241.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5052-H38 Wrought,Aluminium,290.0,255.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5056-O Wrought,Aluminium,290.0,152.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5056-H18 Wrought,Aluminium,434.0,407.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5056-H38 Wrought,Aluminium,414.0,345.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5083-O Wrought,Aluminium,290.0,145.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5083-H116 Wrought,Aluminium,317.0,228.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5083-H321 Wrought,Aluminium,317.0,228.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5086-O Wrought,Aluminium,262.0,117.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5086-H32 Wrought,Aluminium,290.0,207.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5086-H34 Wrought,Aluminium,324.0,255.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5086-H112 Wrought,Aluminium,269.0,131.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5086-H116 Wrought,Aluminium,290.0,207.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5154-O Wrought,Aluminium,241.0,117.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5154-H32 Wrought,Aluminium,269.0,207.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5154-H34 Wrought,Aluminium,290.0,228.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5154-H36 Wrought,Aluminium,310.0,248.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5154-H38 Wrought,Aluminium,331.0,269.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5154-H112 Wrought,Aluminium,241.0,117.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5252-H25 Wrought,Aluminium,234.0,172.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5252-H28 Wrought,Aluminium,283.0,241.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5252-H38 Wrought,Aluminium,283.0,241.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5254-O Wrought,Aluminium,241.0,117.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5254-H32 Wrought,Aluminium,269.0,207.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5254-H34 Wrought,Aluminium,290.0,228.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5254-H36 Wrought,Aluminium,310.0,248.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5254-H38 Wrought,Aluminium,331.0,269.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5254-H112 Wrought,Aluminium,241.0,117.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5454-O Wrought,Aluminium,248.0,117.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5454-H32 Wrought,Aluminium,276.0,207.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5454-H34 Wrought,Aluminium,303.0,241.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5454-H111 Wrought,Aluminium,262.0,179.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5454-H112 Wrought,Aluminium,248.0,124.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5456-O Wrought,Aluminium,310.0,159.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5456-H112 Wrought,Aluminium,310.0,165.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5456-H116 Wrought,Aluminium,352.0,255.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5456-H321 Wrought,Aluminium,352.0,255.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5457-O Wrought,Aluminium,131.0,48.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5457-H25 Wrought,Aluminium,179.0,159.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5457-H28 Wrought,Aluminium,207.0,186.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5457-H38 Wrought,Aluminium,207.0,186.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5652-O Wrought,Aluminium,193.0,90.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5652-H32 Wrought,Aluminium,228.0,193.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5652-H34 Wrought,Aluminium,262.0,214.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5652-H36 Wrought,Aluminium,276.0,241.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5652-H38 Wrought,Aluminium,290.0,255.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5657-H25 Wrought,Aluminium,159.0,138.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5657-H28 Wrought,Aluminium,193.0,165.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 5657-H38 Wrought,Aluminium,193.0,165.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6061-O Wrought,Aluminium,124.0,55.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6061-T4 Wrought,Aluminium,241.0,145.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6061-T451 Wrought,Aluminium,241.0,145.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6061-T6 Wrought,Aluminium,310.0,276.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6061-T651 Wrought,Aluminium,310.0,276.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 6061-O Wrought,Aluminium,117.0,48.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 6061-T4 Wrought,Aluminium,228.0,131.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 6061-T451 Wrought,Aluminium,228.0,131.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 6061-T6 Wrought,Aluminium,290.0,255.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 6061-T651 Wrought,Aluminium,290.0,255.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6063-O Wrought,Aluminium,90.0,48.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6063-T1 Wrought,Aluminium,152.0,90.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6063-T4 Wrought,Aluminium,172.0,90.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6063-T5 Wrought,Aluminium,186.0,145.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6063-T6 Wrought,Aluminium,241.0,214.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6063-T83 Wrought,Aluminium,255.0,241.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6063-T831 Wrought,Aluminium,207.0,186.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6063-T832 Wrought,Aluminium,290.0,269.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6066-O Wrought,Aluminium,152.0,83.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6066-T4 Wrought,Aluminium,359.0,207.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6066-T451 Wrought,Aluminium,359.0,207.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6066-T6 Wrought,Aluminium,393.0,359.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6066-T651 Wrought,Aluminium,393.0,359.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6070-T6 Wrought,Aluminium,379.0,352.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6101-H111 Wrought,Aluminium,97.0,76.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6101-T6 Wrought,Aluminium,221.0,193.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6262-T9 Wrought,Aluminium,400.0,379.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6351-T4 Wrought,Aluminium,248.0,152.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6351-T6 Wrought,Aluminium,310.0,283.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6463-T1 Wrought,Aluminium,152.0,90.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6463-T5 Wrought,Aluminium,186.0,145.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 6463-T6 Wrought,Aluminium,241.0,214.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7049-T73 Wrought,Aluminium,517.0,448.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7049-T7352 Wrought,Aluminium,517.0,434.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7050-T73510 Wrought,Aluminium,496.0,434.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7050-T7451f Wrought,Aluminium,524.0,469.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7050-T7651 Wrought,Aluminium,552.0,490.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7075-O Wrought,Aluminium,228.0,103.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7075-T6 Wrought,Aluminium,572.0,503.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7075-T651 Wrought,Aluminium,572.0,503.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 7075-O Wrought,Aluminium,221.0,97.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 7075-T6 Wrought,Aluminium,524.0,462.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 7075-T651 Wrought,Aluminium,524.0,462.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7178-O Wrought,Aluminium,228.0,103.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7178-T6 Wrought,Aluminium,607.0,538.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7178-T651 Wrought,Aluminium,607.0,538.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7178-T76 Wrought,Aluminium,572.0,503.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 7178-T7651 Wrought,Aluminium,572.0,503.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 7178-O Wrought,Aluminium,221.0,97.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 7178-T6 Wrought,Aluminium,558.0,490.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy Alclad 7178-T651 Wrought,Aluminium,558.0,490.0,73000.0,26000.0,0.33,6110.0,0
ANSI Aluminum Alloy 8176-H24 Wrought,Aluminium,117.0,97.0,73000.0,26000.0,0.33,6110.0,0
ANSI Magnesium Alloy AM100A-T61 sand casting,Iron,276.0,152.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AZ63A-T6 sand casting,Iron,276.0,97.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AZ81A-T4 sand casting,Iron,276.0,83.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AZ91C-T6 sand casting,Iron,276.0,145.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AZ91E-T6 sand casting,Iron,276.0,145.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AZ92A-T6 sand casting,Iron,276.0,152.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy EZ33A-T5 sand casting,Iron,159.0,110.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy HK31A-T6 sand casting,Iron,221.0,103.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy HZ32A-T6 sand casting,Iron,186.0,90.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy K1A-F sand casting,Iron,179.0,55.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy QE22A-T6 sand casting,Iron,262.0,193.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy QH21A-T6 sand casting,Iron,276.0,207.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy ZE41A-T5 sand casting,Iron,207.0,138.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy ZE63A-T6 sand casting,Iron,303.0,193.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy ZH62A-T5 sand casting,Iron,241.0,152.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy ZK51A-T5 sand casting,Iron,207.0,138.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy ZK61A-T6 sand casting,Iron,310.0,193.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy WE54A-F sand casting,Iron,276.0,200.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AZ91A-F pressure die casting,Iron,234.0,159.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AZ91B-FAZ91B-F pressure die casting,Iron,234.0,159.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AZ91D-F pressure die casting,Iron,234.0,159.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AM60A-F pressure die casting,Iron,221.0,131.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AM60B-F pressure die casting,Iron,221.0,131.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AS41A-F pressure die casting,Iron,214.0,138.0,73000.0,26000.0,0.33,6110.0,2
ANSI Magnesium Alloy AZ10A-F As extruded,Other,241.0,145.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy AZ31B-F As extruded,Other,262.0,200.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy AZ31C-F As extruded,Other,262.0,200.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy AZ61A-F As extruded,Other,310.0,228.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy AZ80A-T5 As extruded,Other,379.0,276.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy HM31A-F As extruded,Other,290.0,228.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy M1A-F As extruded,Other,255.0,179.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy ZK40A-T5 As extruded,Other,276.0,255.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy ZK60A-F As extruded,Other,352.0,283.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy AZ31B-H24 ,Other,290.0,221.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy AZ31C-H24 ,Other,290.0,221.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy HK31A-H24 ,Other,262.0,207.0,73000.0,26000.0,0.33,6110.0,3
ANSI Magnesium Alloy HM21A-T8 ,Other,234.0,172.0,73000.0,26000.0,0.33,6110.0,3
ISO EN 11SMn30 ,Other,380.0,230.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 10S2O ,Other,360.0,225.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 35S20 ,Other,600.0,380.0,206000.0,80000.0,0.3,7860.0,3
ISO EN FeP01 ,Other,270.0,280.0,206000.0,80000.0,0.3,7860.0,3
ISO EN FeP03 ,Other,270.0,240.0,206000.0,80000.0,0.3,7860.0,3
ISO EN FeP04 ,Other,270.0,210.0,206000.0,80000.0,0.3,7860.0,3
ISO EN SPT360 ,Other,360.0,225.0,206000.0,80000.0,0.3,7860.0,3
ISO EN P235GH ,Other,360.0,225.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S235JRG1 ,Other,340.0,225.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S235JRH ,Other,340.0,225.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S235JRG2 ,Other,340.0,225.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S235JO ,Other,340.0,225.0,206000.0,80000.0,0.3,7860.0,3
ISO EN P265GH ,Other,410.0,225.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S275JR ,Other,410.0,265.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S275J2G3 ,Other,410.0,265.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S275J2HG3 ,Other,410.0,265.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S355J2G3 ,Other,490.0,345.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S355J2H ,Other,490.0,345.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S355JO ,Other,490.0,345.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S355JOH ,Other,490.0,345.0,206000.0,80000.0,0.3,7860.0,3
ISO EN SPT410 ,Other,410.0,255.0,206000.0,80000.0,0.3,7860.0,3
ISO EN SPT510 ,Other,510.0,345.0,206000.0,80000.0,0.3,7860.0,3
ISO EN E295 ,Other,470.0,285.0,206000.0,80000.0,0.3,7860.0,3
ISO EN E355 ,Other,570.0,325.0,206000.0,80000.0,0.3,7860.0,3
ISO EN E360 ,Other,690.0,355.0,206000.0,80000.0,0.3,7860.0,3
ISO EN C10E ,Other,420.0,300.0,206000.0,80000.0,0.3,7860.0,3
ISO EN C15E ,Other,440.0,340.0,206000.0,80000.0,0.3,7860.0,3
ISO EN C22 ,Other,470.0,290.0,206000.0,80000.0,0.3,7860.0,3
ISO EN C25 ,Other,500.0,320.0,206000.0,80000.0,0.3,7860.0,3
ISO EN C30 ,Other,550.0,350.0,206000.0,80000.0,0.3,7860.0,3
ISO EN C35 ,Other,600.0,380.0,206000.0,80000.0,0.3,7860.0,3
ISO EN C40 ,Other,630.0,400.0,206000.0,80000.0,0.3,7860.0,3
ISO EN C45 heat treated,Other,650.0,430.0,206000.0,80000.0,0.3,7860.0,3
ISO EN C50 heat treated,Other,700.0,460.0,206000.0,80000.0,0.3,7860.0,3
ISO EN C55 heat treated,Other,750.0,490.0,206000.0,80000.0,0.3,7860.0,3
ISO EN C60 heat treated,Other,800.0,520.0,206000.0,80000.0,0.3,7860.0,3
ISO EN P295GH ,Other,460.0,290.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 28Mn6 heat treated,Other,700.0,490.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 17Cr3 ,Other,580.0,340.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 34Cr4 heat treated,Other,800.0,590.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 37Cr4 heat treated,Other,850.0,630.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 41Cr4 heat treated,Other,900.0,660.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 16MnCr5 case-hardened,Other,900.0,680.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 20MnCr5 case-hardened,Other,980.0,680.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 16Mo3 ,Other,440.0,270.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 13CrMo4 ,Other,450.0,295.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 25CrMo4 heat treated,Other,800.0,600.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 34CrMo4 heat treated,Other,900.0,650.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 42CrMo4 heat treated,Other,1000.0,770.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S355J2G1W ,Other,490.0,345.0,206000.0,80000.0,0.3,7860.0,3
ISO EN S355J0WP ,Other,490.0,345.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 51CrV4 case-hardened,Other,900.0,700.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 10CrMo9-10 ,Other,480.0,300.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 11CrMo9-10 ,Other,520.0,310.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 16NiCr4 case-hardened,Other,835.0,590.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 12Ni14 ,Other,490.0,355.0,206000.0,80000.0,0.3,7860.0,3
ISO EN 34CrNiMo6 heat treated,Other,1100.0,867.5,206000.0,80000.0,0.3,7860.0,3
ISO EN 30CrNiMo8 heat treated,Other,1250.0,867.5,206000.0,80000.0,0.3,7860.0,3
ISO EN 12Ni19 ,Other,530.0,390.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X8Ni9 ,Other,680.0,585.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X6Cr13 ,Other,400.0,230.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X12Cr13 ,Other,650.0,450.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X20Cr13 ,Other,700.0,500.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X30Cr13 ,Other,850.0,650.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X6Cr17 ,Other,400.0,240.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X17CrNi16-2 ,Other,800.0,600.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X5CrNi18-10 ,Other,500.0,190.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X8CrNiS18-9 ,Other,500.0,190.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X6CrNiTi18-10 ,Other,500.0,190.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X2CrNi19-11 ,Other,460.0,180.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X2CrNiN18-10 ,Other,550.0,270.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X5CrNiMo17-12-2 ,Other,500.0,200.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X6CrNiMoTi17-12-2 ,Other,500.0,200.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X2CrNiMo17-12-2 ,Other,500.0,200.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X2CrNiMo18-14-3 ,Other,500.0,200.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X3CrNiMo17-13-3 ,Other,500.0,200.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X2CrNiMoN17-11-2 ,Other,580.0,280.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X2CrNiMoN17-13-3 ,Other,580.0,280.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X2CrNiMoN22-5-3 ,Other,650.0,450.0,206000.0,80000.0,0.3,7860.0,3
ISO EN X12CrMnNiN18-9-5 ,Other,680.0,320.0,206000.0,80000.0,0.3,7860.0,3
ISO Grey cast iron ,Iron,150.0,150.0,85000.0,34000.0,0.26999999999999996,7160.0,2
ISO Grey cast iron ,Iron,200.0,200.0,85000.0,34000.0,0.26999999999999996,7160.0,2
ISO Grey cast iron ,Iron,250.0,250.0,85000.0,34000.0,0.26999999999999996,7160.0,2
ISO Grey cast iron ,Iron,300.0,300.0,85000.0,34000.0,0.26999999999999996,7160.0,2
ISO Grey cast iron ,Iron,350.0,350.0,85000.0,34000.0,0.26999999999999996,7160.0,2
